CCAA,Sex,Year,Inf_Secundaria_25_64,Inf_Secundaria_25_34,Inf_Secundaria_55_64,Segunda_Etapa_25_64,Segunda_Etapa_25_34,Segunda_Etapa_55_64,Superior_25_64,Superior_25_34,Superior_55_64,Age12_Suitability,Age15_Suitability
Pais Vasco,Male,2021,24.8,16.4,32.6,21.3,21.4,22.5,53.9,62.2,45.0,86.0,77.3
"Rioja, La",Male,2021,40.5,35.1,47.5,22.9,24.4,18.1,36.7,40.4,34.4,79.2,68.7
Ceuta y Melilla,Male,2021,45.1,43.5,47.4,26.4,23.3,26.6,28.5,33.3,26.0,77.1,58.9
Andalucia,Female,2021,41.3,27.5,56.4,21.3,25.9,19.3,37.4,46.6,24.3,89.4,74.5
Aragon,Female,2021,27.1,16.5,43.4,28.0,25.5,24.3,44.9,58.0,32.3,86.7,77.5
"Asturias, Principado de",Female,2021,29.8,18.7,44.0,23.4,19.1,26.4,46.8,62.3,29.5,90.9,81.8
"Balears, Illes",Female,2021,31.7,26.3,44.5,27.2,24.2,27.2,41.1,49.5,28.3,87.0,75.8
Canarias,Female,2021,33.8,21.6,47.7,26.2,30.7,22.5,40.0,47.7,29.8,88.5,75.6
Cantabria,Female,2021,28.1,16.7,43.9,24.9,25.7,22.8,47.0,57.6,33.3,89.5,81.8
Castilla y Leon,Female,2021,30.6,23.8,44.6,24.2,20.3,24.9,45.2,55.9,30.6,86.2,77.1
Castilla-La Mancha,Female,2021,41.5,26.9,57.8,23.3,23.2,21.0,35.2,49.8,21.2,84.7,74.3
Cataluna,Female,2021,31.0,20.9,44.7,22.8,21.9,23.4,46.1,57.2,31.9,95.1,89.3
Comunitat Valenciana,Female,2021,34.4,23.4,48.7,24.1,23.1,25.1,41.5,53.4,26.1,87.5,76.8
Extremadura,Female,2021,45.3,29.6,66.2,20.5,21.2,16.5,34.2,49.2,17.3,86.7,78.0
Galicia,Female,2021,31.8,18.1,48.9,22.2,24.5,19.2,45.9,57.4,31.9,90.2,82.4
"Madrid, Comunidad de",Female,2021,22.9,17.1,36.2,24.8,21.7,27.9,52.3,61.1,35.9,86.9,77.9
"Murcia, Region de",Female,2021,43.6,34.0,58.2,19.1,19.4,17.4,37.3,46.6,24.4,85.7,75.4
"Navarra, Comunidad Foral de",Female,2021,24.4,9.9,37.9,22.9,23.3,25.1,52.7,66.8,36.9,86.3,81.5
Pais Vasco,Female,2021,21.5,14.3,29.2,20.5,15.9,27.3,58.0,69.8,43.4,90.4,83.9
"Rioja, La",Female,2021,31.3,26.4,45.4,24.7,24.7,20.1,44.0,49.0,34.5,85.1,77.8
Ceuta y Melilla,Female,2021,43.0,36.0,43.2,21.6,24.4,26.1,35.4,39.6,30.7,86.1,64.6
Andalucia,Male,2020,49.8,42.1,58.7,20.5,25.0,18.0,29.7,32.9,23.3,84.4,62.0
Aragon,Male,2020,35.0,28.1,47.1,28.8,30.4,24.7,36.2,41.5,28.3,77.7,57.5
"Asturias, Principado de",Male,2020,33.6,22.1,43.6,24.8,29.3,22.9,41.6,48.7,33.5,86.8,71.7
"Balears, Illes",Male,2020,41.8,35.3,50.1,26.8,31.7,26.4,31.4,33.0,23.5,82.1,63.2
Canarias,Male,2020,43.3,33.7,50.7,25.7,31.1,24.4,31.0,35.2,25.0,83.0,62.1
Cantabria,Male,2020,35.0,23.0,46.4,25.6,29.1,23.8,39.4,47.9,29.8,86.5,67.9
Castilla y Leon,Male,2020,41.0,34.9,49.6,24.2,26.2,22.7,34.9,38.9,27.6,81.9,66.6
Castilla-La Mancha,Male,2020,51.3,46.8,63.6,21.5,23.1,17.2,27.2,30.1,19.2,79.9,61.1
Cataluna,Male,2020,38.4,31.7,47.3,22.0,20.4,21.2,39.6,47.8,31.5,92.8,79.9
Comunitat Valenciana,Male,2020,41.9,35.3,51.3,23.2,24.9,21.0,34.9,39.8,27.6,82.6,63.1
Extremadura,Male,2020,57.4,51.7,67.5,20.6,25.5,15.4,22.0,22.8,17.1,81.5,65.5
Galicia,Male,2020,41.3,30.9,54.9,22.4,27.4,20.1,36.3,41.8,25.0,85.0,68.4
"Madrid, Comunidad de",Male,2020,25.7,23.3,32.9,25.5,24.0,26.5,48.8,52.8,40.5,82.8,66.1
"Murcia, Region de",Male,2020,49.5,40.7,56.3,21.5,26.3,17.8,29.0,33.0,25.9,80.0,62.5
"Navarra, Comunidad Foral de",Male,2020,31.8,23.8,44.6,24.0,26.0,22.5,44.2,50.1,32.9,82.7,71.7
Pais Vasco,Male,2020,26.3,20.2,34.5,22.1,23.8,23.6,51.6,56.0,42.0,86.0,74.0
"Rioja, La",Male,2020,43.5,44.6,45.7,22.2,21.4,20.7,34.3,34.0,33.6,80.2,64.2
Ceuta y Melilla,Male,2020,44.6,41.9,44.4,28.1,31.2,29.0,27.3,26.9,26.6,75.7,54.0
Andalucia,Female,2020,43.7,27.7,59.9,20.9,26.3,17.9,35.4,45.9,22.3,89.5,71.2
Aragon,Female,2020,30.0,21.4,50.3,26.7,25.2,24.2,43.3,53.4,25.5,81.7,62.3
"Asturias, Principado de",Female,2020,28.6,16.8,41.5,24.7,23.8,25.6,46.7,59.5,32.9,90.2,76.2
"Balears, Illes",Female,2020,32.2,23.8,51.0,29.5,29.1,23.5,38.3,47.1,25.5,86.8,71.6
Canarias,Female,2020,35.7,21.8,48.9,26.6,28.6,25.6,37.7,49.6,25.5,88.2,72.3
Cantabria,Female,2020,29.7,13.2,44.8,24.7,23.8,24.4,45.6,63.1,30.7,90.1,76.6
Castilla y Leon,Female,2020,33.7,24.7,49.4,23.2,20.7,23.2,43.1,54.6,27.3,85.5,75.3
Castilla-La Mancha,Female,2020,43.0,28.0,60.7,22.4,24.0,18.8,34.5,48.1,20.6,84.7,69.7
Cataluna,Female,2020,34.0,25.2,50.5,21.0,19.0,20.9,45.0,55.8,28.7,94.9,87.0
Comunitat Valenciana,Female,2020,33.5,22.4,48.9,25.4,24.6,25.1,41.1,53.0,26.1,87.3,72.9
Extremadura,Female,2020,47.1,26.9,67.7,21.3,24.8,16.4,31.6,48.3,15.9,87.2,75.1
Galicia,Female,2020,33.7,18.4,54.9,22.1,24.4,18.6,44.2,57.2,26.5,89.6,77.4
"Madrid, Comunidad de",Female,2020,22.5,16.9,36.0,26.0,23.1,29.5,51.5,60.0,34.5,86.3,73.3
"Murcia, Region de",Female,2020,42.2,26.5,55.2,21.0,24.1,18.4,36.8,49.4,26.4,85.3,71.6
"Navarra, Comunidad Foral de",Female,2020,25.7,14.6,43.9,21.7,23.1,20.5,52.6,62.2,35.6,86.5,79.8
Pais Vasco,Female,2020,23.1,15.8,39.3,21.7,16.8,23.7,55.2,67.3,37.0,90.4,81.8
"Rioja, La",Female,2020,32.5,31.7,46.3,24.8,21.7,23.7,42.7,46.6,29.9,85.3,71.1
Ceuta y Melilla,Female,2020,46.4,34.6,49.2,20.8,24.5,22.3,32.8,41.0,28.5,83.0,61.2
Andalucia,Male,2019,50.1,43.7,59.8,21.0,24.3,17.2,28.9,32.0,23.0,84.3,62.1
Aragon,Male,2019,36.2,28.6,49.0,27.6,30.6,23.2,36.3,40.8,27.8,80.5,61.5
"Asturias, Principado de",Male,2019,36.5,26.3,45.4,21.8,26.1,20.8,41.7,47.6,33.8,86.3,69.8
"Balears, Illes",Male,2019,46.0,40.9,52.0,26.1,30.0,27.1,28.0,29.2,20.9,80.0,60.7
Canarias,Male,2019,45.4,38.5,54.6,24.0,26.6,22.0,30.6,34.8,23.4,81.9,61.7
Cantabria,Male,2019,34.6,27.6,44.7,26.9,28.4,24.7,38.5,43.9,30.6,85.7,68.6
Castilla y Leon,Male,2019,42.4,35.7,52.1,23.5,23.2,22.0,34.1,41.2,25.9,81.8,67.2
Castilla-La Mancha,Male,2019,51.4,44.6,64.6,21.4,22.1,17.1,27.2,33.2,18.3,79.7,60.4
Cataluna,Male,2019,39.6,34.9,49.4,20.8,18.9,20.4,39.6,46.2,30.2,92.5,78.1
Comunitat Valenciana,Male,2019,43.8,35.0,54.2,22.8,24.0,20.7,33.4,41.0,25.0,82.5,62.4
Extremadura,Male,2019,59.4,51.4,69.6,18.3,22.9,13.5,22.3,25.6,16.9,82.6,66.1
Galicia,Male,2019,42.6,31.3,56.0,22.9,26.6,20.6,34.5,42.1,23.3,85.1,68.1
"Madrid, Comunidad de",Male,2019,27.4,25.2,35.6,24.7,24.9,23.8,47.9,49.9,40.5,82.4,66.3
"Murcia, Region de",Male,2019,51.3,42.7,57.8,20.4,25.4,17.8,28.3,31.9,24.4,78.3,59.7
"Navarra, Comunidad Foral de",Male,2019,32.1,23.6,44.6,24.3,27.9,19.7,43.6,48.4,35.7,84.1,70.9
Pais Vasco,Male,2019,29.8,20.6,41.2,21.2,21.4,20.1,48.9,57.9,38.7,86.3,73.2
"Rioja, La",Male,2019,44.2,42.7,49.1,21.3,19.4,20.0,34.5,37.9,31.0,80.9,66.8
Ceuta y Melilla,Male,2019,49.5,47.1,58.3,27.6,30.2,22.1,22.9,22.7,19.6,73.2,48.1
Andalucia,Female,2019,45.5,31.8,62.9,21.1,24.9,17.2,33.4,43.2,19.9,88.8,71.3
Aragon,Female,2019,32.3,19.7,49.2,25.4,25.5,25.0,42.3,54.8,25.7,84.6,67.2
"Asturias, Principado de",Female,2019,29.8,20.2,43.8,25.3,23.5,26.8,44.9,56.3,29.4,90.2,77.7
"Balears, Illes",Female,2019,36.8,28.8,54.4,27.4,27.6,23.0,35.8,43.6,22.6,85.3,71.6
Canarias,Female,2019,40.1,26.4,53.8,25.0,23.9,22.2,34.9,49.8,24.0,88.2,71.6
Cantabria,Female,2019,28.0,13.5,43.6,26.4,26.6,26.5,45.5,59.9,29.9,87.7,77.3
Castilla y Leon,Female,2019,34.7,22.8,51.7,22.5,21.0,22.8,42.8,56.2,25.5,86.2,75.1
Castilla-La Mancha,Female,2019,45.6,28.2,65.6,21.5,23.1,16.8,32.9,48.7,17.6,84.5,68.8
Cataluna,Female,2019,33.1,23.6,52.0,21.7,19.5,21.0,45.2,56.9,27.0,94.0,85.8
Comunitat Valenciana,Female,2019,36.0,25.5,54.0,23.5,22.4,22.3,40.5,52.1,23.8,86.9,72.2
Extremadura,Female,2019,47.8,26.7,68.0,20.6,22.5,17.3,31.6,50.8,14.7,86.6,74.5
Galicia,Female,2019,36.3,20.0,58.3,22.4,24.7,20.2,41.3,55.3,21.5,89.4,77.0
"Madrid, Comunidad de",Female,2019,24.4,19.6,38.8,25.4,21.8,27.1,50.2,58.6,34.1,85.1,72.7
"Murcia, Region de",Female,2019,43.7,34.2,57.0,21.5,22.9,19.4,34.9,42.8,23.6,83.6,69.2
"Navarra, Comunidad Foral de",Female,2019,26.3,13.8,45.7,23.0,23.0,20.6,50.7,63.2,33.7,85.3,79.5
Pais Vasco,Female,2019,26.0,15.0,44.1,21.5,21.4,22.4,52.6,63.5,33.4,90.1,81.3
"Rioja, La",Female,2019,32.5,28.7,41.9,25.4,24.6,27.0,42.1,46.7,31.1,84.7,73.7
Ceuta y Melilla,Female,2019,51.8,41.3,59.8,18.3,20.3,17.9,29.9,38.4,22.3,81.2,60.1
